Aircraft;Lfus;Wfus;Span;MTOW;Npax;nEngine;SLST;Range;Price
string;m;m;m;kg;int;int;kN;km;M$
A318;31.4;3.95;33.9;68000;107;2;100;5950;75.9
A319;33.8;3.95;33.9;75500;124;2;100;6850;90.5
A320;37.6;3.95;33.9;78000;150;2;100;6150;99
A321;44.5;3.95;33.9;93500;185;2;100;5950;116
A319neo;33.8;3.95;35.8;75500;140;2;100;6950;99.5
A320neo;37.6;3.95;35.8;79000;165;2;100;6500;108.4
A321neo;44.5;3.95;35.8;97000;206;2;100;7400;127
A330-200;58.8;5.64;60;233000;246;2;290;12600;233.8
A330-300;63.7;5.64;60;242000;277;2;320;10500;259
A330-800neo;58.8;5.64;64;251000;257;2;200;15094;254.8
A330-900neo;63.6;5.64;64;251000;287;2;320;13334;290.6
A350-800;58.9;5.96;64.7;245000;310;2;340;15200;275.1
A350-900;66.8;5.96;64.7;280000;366;2;370;15000;311.2
A350-1000;73.8;5.96;64.7;316000;412;2;430;14800;359.3
A380;72.7;7.14;79.7;575000;525;4;350;15200;436.9
747-8;76.3;6.49;68.4;447700;467;4;300;14815;403.6
777-200ER;63.7;6.2;60.9;297500;313;2;420;13100;295.2
777-300ER;73.8;6.2;64.8;351500;396;2;513;13650;361.5
777-200LR;63.7;6.2;64.8;347500;317;2;510;15800;334
777-9;76.7;6.2;71.8;775000;450;2;470;15200;425.8
777-8;69.8;6.2;71.8;775000;353;2;470;17200;394.9
787-10;68.3;5.77;60.1;254000;330;2;340;11910;325.8
787-9;62.8;5.77;60.1;254000;290;2;320;14140;281.6
787-8;56.7;5.77;60.1;228000;242;2;280;13620;239
767-300ER;54.9;5.41;47.6;159000;261;2;270;11070;209.8
737 MAX 10;43.8;3.76;35.9;89750;188;2;100;7100;129.9
737 MAX 9;42.2;3.76;35.9;88300;178;2;100;6500;124.1
737 MAX 8;39.5;3.76;35.9;82200;162;2;100;6400;117.1
737 MAX 7;35.5;3.76;35.9;80300;138;2;100;6100;96
737-900ER;42;3.76;35.8;85000;177;2;100;5500;108.4
737-800;38;3.76;35.8;79000;189;2;100;5500;102.2
737-700;32.2;3.76;35.8;75500;149;2;100;5500;85.8
