"Airport","Country","IATA","ICAO"
"Aalborg","Denmark","AAL","EKYT"
"Aalesund","Norway","AES","ENAL"
"Aarhus","Denmark","AAR","EKAH"
"Abadan","Iran","ABD","OIAA"
"Abaiang","Kiribati","ABF","NGAB"
"Abakan","Russia","ABA","UNAA"
"Abau","Papua New Guinea","ABW","-"
"Abbotsford","Canada","YXX","CYXX"
"Abbse","Yemen","EAB","ODAS"
"Abecher","Chad","AEH","FTTC"
"Abemama","Kiribati","AEA","NGTB"
"Abengourou","Ivory Coast","OGO","DIAU"
"Aberdeen","United States","ABR","KABR"
"Aberdeen","United Kingdom","ABZ","EGPD"
"Abha","Saudi Arabia","AHB","OEAB"
"Abidjan","Ivory Coast","ABJ","DIAP"
"Abilene","United States","ABI","KABI"
"Abingdon","Australia","ABG","YABI"
"Aboisso","Ivory Coast","ABO","DIAO"
"Abou Deia","Chad","AOD","-"
"Abreojos","Mexico","AJS","-"
"Abu Dhabi","United Arab Emirates","AUH","OMAA"
"Abu Dhabi-Bus Stations","United Arab Emirates","ZVJ","-"
"Abu Ruedis","Egypt","AUE","-"
"Abu Simbel","Egypt","ABS","HEBL"
"Abuja","Nigeria","ABV","DNAA"
"Acandi","Colombia","ACD","SKAD"
"Acapulco","Mexico","ACA","MMAA"
"Acaricuara","Colombia","ARF","-"
"Acarigua","Venezuela","AGV","SVAC"
"Accra","Ghana","ACC","DGAA"
"Achinsk","Russia","ACS","UNKS"
"Achutupo","Panama","ACU","-"
"Adak Island","United States","ADK","PADK"
"Adana","Turkey","ADA","LTAF"
"Addis Ababa","Ethiopia","ADD","HAAB"
"Adelaide","Australia","ADL","YPAD"
"Aden","Yemen","ADE","OYAA"
"Adiyaman","Turkey","ADF","-"
"Adler/Sochi","Russia","AER","URSS"
"Adrar","Algeria","AZR","DAUA"
"Adrian","United States","ADG","KADG"
"Aek Godang","Indonesia","AEG","WIME"
"Aéroport international Al Maktoum","United Arab Emirates","DWC","OMDW"
"Afore","Papua New Guinea","AFR","-"
"Afton","United States","AFO","KAFO"
"Afutara","Solomon Islands","AFT","-"
"Afyon","Turkey","AFY","LTAH"
"Agades","Niger","AJY","DRZA"
"Agadir","Morocco","AGA","GMAD"
"Agartala","India","IXA","VEAT"
"Agatti Island","India","AGX","VOAT"
"Agaun","Papua New Guinea","AUP","-"
"Agen","France","AGF","LFBA"
"Aggeneys","South Africa","AGZ","FAAG"
"Agnew","Australia","AGW","-"
"Agra","India","AGR","VIAG"
"Agri","Turkey","AJI","-"
"Agrinion","Greece","AGQ","LGAG"
"Aguaclara","Colombia","ACL","SKAG"
"Aguadilla","Puerto Rico","BQN","TJBQ"
"Aguascalientes","Mexico","AGU","MMAS"
"Aguni","Japan","AGJ","RORA"
"Ahe","French Polynesia","AHE","NTHE"
"Ahmedabad","India","AMD","VAAH"
"Ahuas","Honduras","AHS","-"
"Ahwaz","Iran","AWZ","OIAW"
"Aiken","United States","AIK","KAIK"
"Ailigandi","Panama","AIL","-"
"Ailinglapalap","Marshall Islands","AIP","-"
"Ailuk","Marshall Islands","AIM","-"
"Ainsworth","United States","ANW","KANW"
"Aiome","Papua New Guinea","AIE","-"
"Aioun El Atrouss","Mauritania","AEO","GQNA"
"Airlie Beach","Australia","WSY","YWHI"
"Airok","Marshall Islands","AIC","-"
"Aishalton","Guyana","AHL","SYAH"
"Aitape","Papua New Guinea","ATP","-"
"Aitutaki","Cook Islands","AIT","NCAI"
"Aix-en-Provence","France","QXB","-"
"Aiyura","Papua New Guinea","AYU","-"
"Aizawl","India","AJL","VEAZ"
"Ajaccio","France","AJA","LFKJ"
"Akhiok","United States","AKK","PAKH"
"Akiachak","United States","KKI","-"
"Akiak","United States","AKI","PFAK"
"Akieni","Gabon","AKE","FOGA"
"Akita","Japan","AXT","RJSK"
"Akjoujt","Mauritania","AJJ","GQNJ"
"Aklavik","Canada","LAK","-"
"Akola","India","AKD","VAAK"
"Akron","United States","AKO","KAKO"
"Akron/Canton","United States","CAK","KCAK"
"Aksu","China","AKU","ZWAK"
"Aktyubinsk","Kazakhstan","AKX","UATT"
"Akulivik","Canada","AKV","CYKO"
"Akure","Nigeria","AKR","DNAK"
"Akureyri","Iceland","AEY","BIAR"
"Akutan","United States","KQA","PAUT"
"Al Ain","United Arab Emirates","AAN","OMAL"
"Al Arish","Egypt","AAC","HEAR"
"Al Asad","Iraq","IQA","-"
"Al Fallujah","Iraq","TQD","-"
"Al Ghaydah","Yemen","AAY","OYGD"
"Al Hoceima","Morocco","AHU","GMTA"
"Al Kharj","Saudi Arabia","AKH","-"
"Al Thaurah","Syria","SOR","-"
"Al-Baha","Saudi Arabia","ABT","OEBA"
"Alah","Philippines","AAV","RPMA"
"Alakanuk","United States","AUK","PAUK"
"Alamogordo","United States","ALM","KALM"
"Alamos","Mexico","XAL","-"
"Alamosa","United States","ALS","KALS"
"Albacete","Spain","ABC","LEAB"
"Albany","United States","ABY","KABY"
"Albany","Australia","ALH","YABA"
"Albany","United States","ALB","KALB"
"Albenga","Italy","ALL","LIMG"
"Albert Lea","United States","AEL","KAEL"
"Albi","France","LBI","LFCI"
"Albina","Suriname","ABN","SMBN"
"Albuq","Yemen","BUK","OYBQ"
"Albuquerque","United States","ABQ","KABQ"
"Albury","Australia","ABX","YMAY"
"Aldan","Russia","ADH","UEAA"
"Alderney","United Kingdom","ACI","EGJA"
"Aleg","Mauritania","LEG","-"
"Alegrete","Brazil","ALQ","SSLT"
"Aleknagik","United States","WKK","-"
"Alenquer","Brazil","ALT","-"
"Aleppo","Syria","ALP","OSAP"
"Alert","Canada","YLT","CYLT"
"Alert Bay","Canada","YAL","CYAL"
"Alerta","Peru","ALD","SPAR"
"Alexander Bay","South Africa","ALJ","FAAB"
"Alexander City","United States","ALX","KALX"
"Alexandra","New Zealand","ALR","NZLX"
"Alexandria","United States","AEX","KAEX"
"Alexandria","Australia","AXL","-"
"Alexandria","United States","ESF","KESF"
"Alexandria Bay","United States","AXB","-"
"Alexandrie","Egypt","ALY","HEAX"
"Alexandrie Borg El Arab","Egypt","HBE","HEBA"
"Alexandroupolis","Greece","AXD","LGAL"
"Alger","Algeria","ALG","DAAG"
"Alghero","Italy","AHO","LIEA"
"Algona","United States","AXG","KAXA"
"Ali Sabieh","Djibouti","AII","HDAS"
"Alicante","Spain","ALC","LEAL"
"Alicante","Spain","YJE","-"
"Alice","United States","ALI","KALI"
"Alice Arm/Kitsault","Canada","ZAA","-"
"Alice Springs","Australia","ASP","YBAS"
"Aliceville","United States","AIV","KAIV"
"Alitak","United States","ALZ","-"
"Aljouf","Yemen","AJO","OESK"
"Allahabad","India","IXD","VIAL"
"Allakaket","United States","AET","PFAL"
"Alldays","South Africa","ADY","FAAL"
"Allentown","United States","ABE","KABE"
"Alliance","United States","AIA","KAIA"
"Alluitsup Paa","Greenland","LLU","-"
"Alma","Canada","YTF","CYTF"
"Alma","United States","AMN","KAMN"
"Almaty","Kazakhstan","ALA","UAAA"
"Almenara","Brazil","AMJ","SNAR"
"Almeria","Spain","LEI","LEAM"
"Along","India","IXV","VEAN"
"Alor","Indonesia","ARD","WATM"
"Alor Setar","Malaysia","AOR","WMKA"
"Alotau","Papua New Guinea","GUR","-"
"Alowe","Gabon","AWE","-"
"Alpe D'Huez","France","AHZ","LFHU"
"Alpena","United States","APN","KAPN"
"Alpha","Australia","ABH","YAPH"
"Alpine","United States","ALE","-"
"Alroy Downs","Australia","AYD","-"
"Alta","Norway","ALF","ENAT"
"Alta Floresta","Brazil","AFL","SBAT"
"Altai","Mongolia","LTI","-"
"Altamira","Brazil","ATM","SBHT"
"Altay","China","AAT","ZWAT"
"Altenrhein","Switzerland","ACH","LSZR"
"Alto Molocue","Mozambique","AME","-"
"Alto Palena","Chile","WAP","-"
"Alto Parnaiba","Brazil","APY","SNAI"
"Alto Rio Senguerr","Argentina","ARR","SAVR"
"Alton","United States","ALN","KALN"
"Alton Downs","Australia","AWN","-"
"Altoona","United States","AOO","KAOO"
"Altus","United States","LTS","KLTS"
"Altus Municipal","United States","AXS","KAXS"
"Alula","Somalia","ALU","HCMA"
"Alyeska","United States","AQY","-"
"Am Timan","Chad","AMC","FTTN"
"Ama","Papua New Guinea","AMF","-"
"Amahai","Indonesia","AHI","WAPA"
"Amalfi","Colombia","AFI","SKAM"
"Amami O Shima","Japan","ASJ","RJKA"
"Amanab","Papua New Guinea","AMU","-"
"Amarillo","United States","AMA","KAMA"
"Amarillo Tradewind","United States","TDW","KTDW"
"Amata","Australia","AMT","YAMT"
"Amazon Bay","Papua New Guinea","AZB","-"
"Ambanja","Madagascar","IVA","-"
"Ambato","Ecuador","ATF","SEAM"
"Ambatolahy","Madagascar","AHY","-"
"Ambatomainty","Madagascar","AMY","-"
"Ambatondrazaka","Madagascar","WAM","-"
"Ambilobe","Madagascar","AMB","FMNE"
"Ambler","United States","ABL","PAFM"
"Amboin","Papua New Guinea","AMG","-"
"Ambon","Indonesia","AMQ","WAPP"
"Amboseli","Kenya","ASV","HKAM"
"Ambriz","Angola","AZZ","FNAM"
"Ambunti","Papua New Guinea","AUJ","-"
"Amchitka","United States","AHT","-"
"Amderma","Russia","AMV","ULDD"
"American River","Australia","RCN","-"
"Amery","United States","AHH","KAHH"
"Ames","United States","AMW","KAMW"
"Amityville","United States","AYZ","-"
"Amman","Jordan","AMM","OJAI"
"Amman Civil-Marka Airport","Jordan","ADJ","-"
"Ammaroo","Australia","AMX","-"
"Amook","United States","AOS","-"
"Amos","Canada","YEY","CYEY"
"Ampanihy","Madagascar","AMP","FMSY"
"Ampara","Sri Lanka","AFK","-"
"Amritsar","India","ATQ","VIAR"
"Amsterdam","Netherlands","AMS","EHAM"
"An Shun","China","AVA","-"
"Anaa","French Polynesia","AAA","NTGA"
"Anaco","Venezuela","AAO","SVAN"
"Anacortes","United States","OTS","-"
"Anadyr","Russia","DYR","UHMA"
"Anahim Lake","Canada","YAA","-"
"Anaktuvuk Pass","United States","AKP","PAKP"
"Analalava","Madagascar","HVA","-"
"Anapa","Russia","AAQ","URKA"
"Anapolis","Brazil","APS","SWNS"
"Anchorage","United States","ANC","PANC"
"Anchorage Merrill","United States","MRI","PAMR"
"Ancona","Italy","AOI","LIPY"
"Ancud","Chile","ZUD","-"
"Andahuaylas","Peru","ANS","SPHY"
"Andamooka","Australia","ADO","YAMK"
"Andapa","Madagascar","ZWA","-"
"Andenes","Norway","ANX","ENAN"
"Anderson","United States","AND","KAND"
"Andes","Colombia","ADN","SKAN"
"Andizhan","Uzbekistan","AZN","UTKA"
"Andorre La Vieille","Andorra","ALV","-"
"Andover","United Kingdom","ADV","EGWA"
"Andrews","United States","ADR","KPHH"
"Andriamena","Madagascar","WAD","-"
"Andros Town","The Bahamas","ASD","MYAF"
"Andulo","Angola","ANL","-"
"Anegada","British Virgin Islands","NGD","-"
"Aneityum","Vanuatu","AUY","NVVA"
"Angas Downs","Australia","ANZ","-"
"Angel Fire","United States","AXX","KAXX"
"Angelholm-Helsingborg","Sweden","AGH","ESTA"
"Angers","France","ANE","LFRA"
"Anggi","Indonesia","AGD","WASG"
"Anglesey","United Kingdom","VLY","EGOV"
"Angling Lake","Canada","YAX","CYAX"
"Angmagssalik","Greenland","AGM","BGAM"
"Angoche","Mozambique","ANO","FQAG"
"Angola","United States","ANQ","KANQ"
"Angoon","United States","AGN","PAGN"
"Angoram","Papua New Guinea","AGG","-"
"Angouleme","France","ANG","LFBU"
"Anguganak","Papua New Guinea","AKG","-"
"Anguilla","United States","RFK","-"
"Anguilla","Anguilla","AXA","TQPF"
"Aniak","United States","ANI","PANI"
"Anita Bay","United States","AIB","-"
"Aniwa","Vanuatu","AWD","NVVB"
"Anjouan","Comoros","AJN","FMCV"
"Ankang","China","AKA","ZLAK"
"Ankara","Turkey","ANK","-"
"Ankara","Turkey","ESB","LTAC"
"Ankavandra","Madagascar","JVA","-"
"Ankazoabo","Madagascar","WAK","-"
"Ann Arbor","United States","ARB","KARB"
"Annaba","Algeria","AAE","DABB"
"Annai","Guyana","NAI","SYAN"
"Annanberg","Papua New Guinea","AOB","-"
"Annapolis","United States","ANP","KANP"
"Annecy","France","NCY","LFLP"
"Annette Island","United States","ANN","PANT"
"Anniston","United States","ANB","KANB"
"Anqing","China","AQG","ZSAQ"
"Anta","Peru","ATA","SPHZ"
"Antalaha","Madagascar","ANM","FMNH"
"Antalya","Turkey","AYT","LTAI"
"Antananarivo","Madagascar","TNR","FMMI"
"Anthony","United States","ANY","KANY"
"Anthony Lagoon","Australia","AYL","-"
"Antigua","Antigua and Barbuda","ANU","TAPA"
"Antlers","United States","ATE","-"
"Antofagasta","Chile","ANF","SCFA"
"Antsalova","Madagascar","WAQ","-"
"Antsirabe","Madagascar","ATJ","FMME"
"Antsiranana","Madagascar","DIE","FMNA"
"Antsohihy","Madagascar","WAI","-"
"Antwerpen","Belgium","ANR","EBAW"
"Antwerpen-Centraal railway station","Belgium","ZWE","-"
"Anuha Island Resort","Solomon Islands","ANH","-"
"Anuradhapura","Sri Lanka","ACJ","-"
"Anuradhapura","Sri Lanka","ADP","VCCA"
"Anvers-Berchem","Belgium","ZYZ","-"
"Anvik","United States","ANV","PANV"
"Anyang","China","AYN","ZHAY"
"Aomori","Japan","AOJ","RJSA"
"Apalachicola","United States","AAF","KAAF"
"Apalapsili","Indonesia","AAS","-"
"Apartado","Colombia","APO","-"
"Apataki","French Polynesia","APK","NTGD"
"Apatzingan","Mexico","AZG","-"
"Apia","Samoa","APW","NSFA"
"Apia Fagali I","Samoa","FGI","NSFI"
"Apiay","Colombia","API","SKAP"
"Apolo","Bolivia","APB","SLAP"
"Apple Valley","United States","APV","KAPV"
"Appleton","United States","ATW","KATW"
"April River","Papua New Guinea","APR","-"
"Apucarana","Brazil","APU","SSAP"
"Aqaba","Jordan","AQJ","OJAQ"
"Aracaju","Brazil","AJU","SBAR"
"Aracatuba","Brazil","ARU","SBAU"
"Arad","Romania","ARW","LRAR"
"Aragarcas","Brazil","ARS","SWEC"
"Aragip","Papua New Guinea","ARP","-"
"Araguaina","Brazil","AUX","SWGN"
"Aramac","Australia","AXC","YAMC"
"Arandis","Namibia","ADI","FYAR"
"Aranuka","Kiribati","AAK","NGUK"
"Arapiraca","Brazil","APQ","SNAL"
"Arapongas","Brazil","APX","SSOG"
"Arar","Saudi Arabia","RAE","-"
"Araracuara","Colombia","ACR","SKAC"
"Araraquara","Brazil","AQA","SBAQ"
"Ararat","Australia","ARY","YARA"
"Aratika","French Polynesia","RKA","NTKK"
"Arauca","Colombia","AUC","SKUC"
"Arauquita","Colombia","ARQ","-"
"Arawa","Papua New Guinea","RAW","KRAW"
"Araxa","Brazil","AAX","SBAX"
"Arba Mintch","Ethiopia","AMH","HAAM"
"Arboletas","Colombia","ARO","-"
"Arcadia","United States","5F0","-"
"Arctic Bay","Canada","YAB","-"
"Arctic Red River","Canada","ZRR","-"
"Arctic Village","United States","ARC","PARC"
"Ardabil","Iran","ADU","OITL"
"Ardmore","United States","ADM","KADM"
"Ardmore","New Zealand","AMZ","NZAR"
"Ardmore Downtown","United States","AHD","-"
"Arecibo","Puerto Rico","ARE","TJAB"
"Arequipa","Peru","AQP","SPQU"
"Argyle","Australia","GYL","KGYL"
"Argyle Downs","Australia","AGY","-"
"Aribinda","Burkina Faso","XAR","DFOY"
"Arica","Colombia","ACM","-"
